"","attribute","attribute_label","level","level_numerical","image"
"1","type","Կոռուպցիայի տեսակը","Պաշտոնյան կաշառք է վերցնում","type1","corruption1.jpg"
"2","type","Կոռուպցիայի տեսակը","Պաշտոնյան փայեր է վերցնում","type2","corruption2.jpg"
"3","type","Կոռուպցիայի տեսակը","Պաշտոնյան հանրային ռեսուրսներ է յուրացնում","type3","corruption3.jpg"
"4","type","Կոռուպցիայի տեսակը","Պաշտոնյան շահեկան անօրինական պայմաններ է շնորհում ընտանիքի անդամներին","type4","corruption4.jpg"
"5","type","Կոռուպցիայի տեսակը","Պաշտոնյան ծառայեցնում է հանրային ռեսուրսները իր բիզնեսի օգտին","type5","corruption5.jpg"
"6","sector","Պաշտոնյայի աշխատանքի ոլորտը","Առողջապահություն","sector1","sector1.jpg"
"7","sector","Պաշտոնյայի աշխատանքի ոլորտը","Կրթություն","sector2","sector2.jpg"
"8","sector","Պաշտոնյայի աշխատանքի ոլորտը","Իրավապահ մարմիններ","sector3","sector3.jpg"
"9","sector","Պաշտոնյայի աշխատանքի ոլորտը","Դատարաններ","sector4","sector4.jpg"
"10","sector","Պաշտոնյայի աշխատանքի ոլորտը","Խորհրդարան (ԱԺ)","sector5","sector5.jpg"
"11","sector","Պաշտոնյայի աշխատանքի ոլորտը","Հարկային մարմին","sector6","sector6.jpg"
"12","official_rank","Պաշտոնյայի աստիճանը","Ցածր պաշտոն զբաղեցնող պաշտոնյա","official_rank1","official_rank1.jpg"
"13","official_rank","Պաշտոնյայի աստիճանը","Բարձր պաշտոն զբաղեցնող պաշտոնյա","official_rank2","official_rank2.jpg"
"14","size_corrupt","Կոռուպցիայի չափը","Փոքր գումար","size_corrupt1","size_corrupt1.jpg"
"15","size_corrupt","Կոռուպցիայի չափը","Մեծ գումար","size_corrupt2","size_corrupt2.jpg"
"16","official_use","Կոռուպցիոն միջոցների օգտագործման նպատակը","Գումարի ձեռքբերում անձնական օգտագործման համար","official_use1","official_use1.jpg"
"17","official_use","Կոռուպցիոն միջոցների օգտագործման նպատակը","Գումարի ձեռքբերում քաղաքական թեկնածուների կամ կուսակցությունների համար","official_use2","official_use2.jpg"
"18","act_alone","Արդյոք պաշտոնյան գործում է միայնակ","Ստացված կաշառքը իրեն է պահում","act_alone1","act_alone1.jpg"
"19","act_alone","Արդյոք պաշտոնյան գործում է միայնակ","Կիսում է ստացված կաշառքը նույնաստիճան պաշտոնյաների հետ","act_alone2","act_alone2.jpg"
"20","act_alone","Արդյոք պաշտոնյան գործում է միայնակ","Կիսում է ստացված կաշառքը իրենից բարձր պաշտոն զբաղեցնող պաշտոնյաների հետ","act_alone3","act_alone3.jpg"
"21","official_gender","Պաշտոնյայի սեռը","Արական","official_gender1","official_gender1.jpg"
"22","official_gender","Պաշտոնյայի սեռը","Իգական","official_gender2","official_gender2.jpg"
